UserID,Age,Gender,TotalSpent,AverageSpent,CoursesEnrolled,AverageRating,FavoriteCategory,FavoriteLevel,PreferredType,PaymentMethod,TeacherRating,TeacherExperience,Cluster,PC1,PC2
U00001,15,1,394.26,394.26,1,1.35,2,2,1,2,1.86,1.0,2,-1.0812580354625436,3.4439353236793604
U00002,29,0,0.0,0.0,1,2.88,9,1,0,2,2.22,2.0,3,-1.4978763516661644,-1.1237067104241127
U00003,33,0,613.98,55.81636363636364,11,2.889090909090909,8,0,0,0,4.65090909090909,23.454545454545453,0,3.0020982607939475,-1.0867053808463991
U00004,23,0,982.05,75.54230769230769,13,3.4515384615384614,5,2,0,0,4.76,22.615384615384617,0,3.5314135680146097,-0.6902576218356958
U00005,21,1,346.71,173.355,2,2.0549999999999997,9,0,0,0,3.195,10.5,1,0.1671480414316042,0.05495584932675505
U00006,21,1,0.78,0.78,1,3.89,7,0,1,0,2.38,1.0,1,-1.4797827948447804,0.5485998320704888
U00007,24,1,0.0,0.0,1,1.91,2,2,0,2,1.86,1.0,1,-1.5450358859198245,-0.5042465225558992
U00008,33,0,0.0,0.0,1,4.1,6,2,0,2,2.61,4.0,3,-1.1874382927006788,-1.2428443502909028
U00009,20,0,276.37,276.37,1,2.72,4,0,1,1,1.56,4.0,2,-1.0467230407260435,2.48030448750507
U00010,34,0,326.02,163.01,2,3.165,0,1,0,0,3.77,5.0,1,0.20240949486229506,0.15277129621835905
U00011,15,0,299.57,149.785,2,3.205,3,0,0,1,3.04,6.5,1,-0.023183873365655056,0.1386411132876806
U00012,15,0,327.99,163.995,2,1.5150000000000001,4,0,0,0,4.16,11.5,1,0.8088818594804349,0.25177044182691755
U00013,33,0,1432.33,102.3092857142857,14,2.869285714285714,7,0,0,0,4.8307142857142855,22.071428571428573,0,4.197524984843232,-0.46469161197059455
U00014,30,1,0.0,0.0,1,1.81,7,0,0,1,3.46,6.0,1,-0.5455769624507637,-0.9942961500649192
U00015,27,0,2035.06,145.36142857142858,14,2.7607142857142857,0,1,0,0,4.747142857142856,22.714285714285715,0,5.00601958553141,0.481542445838702
U00016,32,1,0.0,0.0,1,4.79,8,0,0,2,2.22,2.0,3,-1.4030462302364355,-1.3123265086831948
U00017,24,1,963.18,321.06,3,4.6499999999999995,0,1,1,0,4.1499999999999995,7.333333333333333,2,1.2002917922010825,2.625418007919497
U00018,24,0,1468.03,91.751875,16,3.1081250000000002,0,1,0,1,4.750625,22.6875,0,4.6465576144973575,-0.14760437236935647
U00019,24,0,0.0,0.0,1,4.51,4,1,0,1,3.23,10.0,3,-0.3250180078189232,-1.172839742467594
U00020,27,0,0.0,0.0,1,2.88,9,1,0,1,2.22,2.0,3,-1.4890042982692844,-1.0605104302869868
U00021,15,1,177.34,88.67,2,3.135,2,0,0,0,3.325,4.5,1,-0.17684775964286994,-0.12978431073904118
U00022,31,1,0.0,0.0,1,4.68,10,1,0,2,1.05,1.0,3,-2.103062591367417,-1.2605332216141503
U00023,32,1,0.0,0.0,1,4.51,4,1,0,0,1.79,4.0,3,-1.3512694801283427,-0.9541121452495197
U00024,18,0,0.0,0.0,1,3.93,2,2,0,2,3.36,14.0,3,0.008500587465067017,-1.0413063893076742
U00025,34,1,119.04,29.76,4,2.605,6,0,0,0,4.2475000000000005,8.0,1,0.4364034325382489,-0.9872239000641421
U00026,19,1,327.99,327.99,1,1.51,10,1,1,0,1.05,1.0,2,-1.6995846624617612,2.761548644349349
U00027,31,1,0.0,0.0,2,2.915,2,0,0,1,3.34,14.0,1,0.28859935131424846,-0.9550798534552684
U00028,30,0,1012.66,84.38833333333334,12,3.015,6,1,0,0,4.7749999999999995,22.5,0,3.494987818883719,-0.6675562958267616
U00029,30,1,326.02,326.02,1,2.69,1,2,1,1,3.43,12.0,2,0.26995919431414844,2.5194008594393433
U00030,34,1,0.0,0.0,1,3.45,10,2,0,2,2.22,2.0,3,-1.6462095021111265,-1.2973257994098257
U00031,30,1,0.0,0.0,1,2.2,11,1,0,1,2.17,4.0,1,-1.4459109973519881,-1.1028523155200678
U00032,18,1,285.05,285.05,1,1.96,1,1,1,0,1.06,3.0,2,-1.2819607861919557,2.9340514472060706
U00033,25,1,276.37,276.37,1,2.72,4,0,1,0,1.56,4.0,2,-1.0569378689905304,2.49472983392892
U00034,32,0,248.1,124.05,2,2.67,0,1,0,0,3.0599999999999996,4.0,1,-0.24408430162232592,0.09045702453748297
U00035,32,1,0.78,0.78,1,3.89,7,0,1,1,2.92,1.0,3,-1.2818391187823674,0.3291877977317266
U00036,24,0,0.0,0.0,1,3.85,9,1,0,2,1.06,3.0,3,-1.8890209379297724,-1.0693499345835933
U00037,31,0,0.0,0.0,2,1.9849999999999999,2,0,0,0,3.175,4.0,1,-0.48442871499337636,-0.6927870688303467
U00038,35,1,0.0,0.0,1,3.93,2,2,0,0,1.86,1.0,3,-1.5569599441922783,-0.7935125941549096
U00039,16,0,346.71,346.71,1,1.23,10,0,1,1,2.22,2.0,2,-1.033188929111378,2.7357699991846083
U00040,15,1,0.0,0.0,1,3.85,9,1,0,2,2.17,4.0,3,-1.379645592161179,-1.1020605584835157
U00041,19,0,326.02,163.01,2,3.5650000000000004,1,1,0,0,3.33,11.0,1,0.44135986986139375,0.19079536257765467
U00042,32,1,89.59,89.59,1,2.68,0,2,1,0,3.1,2.0,2,-0.9063407082236357,1.3654546845921651
U00043,31,1,327.99,327.99,1,1.51,10,1,1,1,3.32,14.0,2,0.14091707537981293,2.193094553376645
U00044,19,1,299.57,299.57,1,3.74,3,1,1,0,2.92,1.0,2,-0.7579227845895067,2.4592524281377477
U00045,23,0,1209.79,86.41357142857143,14,3.375,10,1,0,0,4.691428571428572,23.142857142857142,0,3.7967999470099207,-0.7885611658586635
U00046,29,0,0.0,0.0,2,1.325,4,0,0,2,4.215,10.5,1,0.32562733664088617,-0.9723298771857145
U00047,34,1,0.0,0.0,1,3.6,3,2,0,2,2.92,1.0,3,-1.1834678774390606,-1.0098969477596145
U00048,19,1,356.89,27.45307692307692,13,3.329230769230769,4,1,0,0,4.67,23.307692307692307,0,3.0212976132189517,-1.0761597511921486
U00049,32,1,0.0,0.0,1,3.45,10,2,0,0,2.45,3.0,3,-1.465259845965469,-1.2289166519104844
U00050,33,1,0.0,0.0,1,2.61,4,0,0,2,1.77,2.0,1,-1.4165097297632947,-0.763441316438551
U00051,32,0,0.0,0.0,1,4.51,4,1,0,2,1.79,4.0,3,-1.3525186719678748,-1.0619129340375548
U00052,25,0,0.78,0.78,1,3.89,7,0,1,0,2.61,4.0,1,-1.1581994866898546,0.4290700775609951
U00053,34,0,53.86,53.86,1,2.47,6,1,1,1,2.61,4.0,2,-1.1344257720856243,0.828551540401819
U00054,22,0,490.9,490.9,1,4.55,0,1,1,1,1.55,3.0,2,-0.7623761438278918,3.679069476197255
U00055,31,0,1448.25,90.515625,16,3.055625,4,0,0,0,4.750625,22.6875,0,4.56890368754323,-0.3864062604867085
U00056,22,0,0.0,0.0,2,2.745,4,0,0,1,3.995,10.5,1,0.23964765431197688,-1.0181975793798972
U00057,18,1,487.92,487.92,1,3.64,1,0,1,1,3.43,12.0,2,0.6921857534133041,3.4862896841622244
U00058,30,0,117.68,117.68,1,2.57,3,0,1,1,2.18,1.0,2,-1.2278015285654231,1.4874605284757838
U00059,32,1,0.0,0.0,1,4.51,4,1,0,0,1.79,4.0,3,-1.3512694801283427,-0.9541121452495197
U00060,26,1,53.86,13.465,4,3.515,6,1,0,0,4.2524999999999995,8.0,3,0.27588454164338627,-1.1587693120187978
U00061,32,0,0.0,0.0,1,1.91,2,2,0,0,1.86,1.0,1,-1.5246206866099101,-0.520217722673074
U00062,28,0,0.0,0.0,1,3.85,9,1,0,2,1.77,2.0,3,-1.68386202846286,-1.1860536823169359
U00063,34,0,299.57,149.785,2,3.31,3,1,0,0,3.04,6.5,3,-0.12253483776745878,-0.03881673934194126
U00064,33,0,276.37,276.37,1,2.72,4,0,1,0,1.79,4.0,2,-0.9594106823397407,2.3646308796000417
U00065,29,1,0.0,0.0,1,2.67,11,0,0,1,1.07,5.0,1,-1.7233215507337172,-1.0148590829340969
U00066,26,0,327.99,327.99,1,1.51,10,1,1,1,3.32,14.0,2,0.1582759792364208,2.2217460456052143
U00067,28,0,119.04,119.04,1,2.75,6,2,1,0,2.61,4.0,2,-1.1164805220661753,1.2578520348033253
U00068,32,1,0.0,0.0,1,3.45,10,2,0,2,3.32,14.0,3,-0.32494976343386006,-1.5296741539928298
U00069,27,0,0.0,0.0,2,3.67,4,0,0,1,1.71,2.5,1,-1.2686309983127182,-0.8327010558617636
U00070,25,0,0.0,0.0,2,4.6899999999999995,5,2,0,0,2.415,2.0,3,-1.2402714931760506,-1.0698934421588444
U00071,30,0,641.94,45.85285714285715,14,2.777857142857143,9,1,0,2,4.886428571428572,21.642857142857142,0,3.203198571538128,-1.2932646839968236
U00072,17,0,326.02,326.02,1,2.69,1,2,1,1,1.06,3.0,2,-1.3093893070093954,3.0057937856188377
U00073,16,1,0.78,0.78,1,3.89,7,0,1,0,3.46,6.0,1,-0.6786126480137673,0.4180924288246199
U00074,19,1,963.18,321.06,3,3.5233333333333334,9,1,1,0,3.8166666666666664,8.333333333333334,2,0.8215613867148523,2.362464347358842
U00075,22,1,0.0,0.0,1,4.45,4,0,0,0,3.13,5.0,3,-0.6468840120452038,-1.002882421269909
U00076,34,1,472.28,118.07,4,3.0949999999999998,1,1,0,2,4.1225000000000005,9.0,3,0.9318406398329949,-0.24344442832251387
U00077,20,1,0.0,0.0,1,4.11,8,2,0,0,1.05,1.0,3,-2.0896690416958723,-0.8954104435117497
U00078,32,0,0.0,0.0,1,4.11,8,2,0,2,3.01,6.0,3,-0.954731020209615,-1.4117651389397357
U00079,28,1,0.0,0.0,1,4.94,2,1,0,1,1.86,1.0,3,-1.477199514765827,-0.8829152246527471
U00080,35,0,0.0,0.0,1,2.88,9,1,0,0,2.22,2.0,3,-1.4887721338962006,-1.0979113575733883
U00081,18,0,0.0,0.0,1,1.52,4,0,0,0,1.79,4.0,1,-1.2121922884374734,-0.42738419003914435
U00082,31,1,0.0,0.0,1,4.68,10,1,0,0,1.05,1.0,3,-2.088774440183175,-1.1743795443093092
U00083,16,1,1661.3,110.75333333333333,15,2.9953333333333334,0,2,1,0,4.762,22.6,0,4.5036310502112835,1.6957799372609892
U00084,20,1,327.99,327.99,1,1.51,10,1,1,0,1.05,1.0,2,-1.7004486513641408,2.751488923606996
U00085,22,0,1149.12,88.39384615384614,13,2.9084615384615384,2,1,0,1,4.7,23.076923076923077,0,3.9119009019724946,-0.3260394479256457
U00086,27,0,53.86,13.465,4,2.47,1,0,0,1,4.2275,9.25,1,0.6459956441791364,-0.8171696193860807
U00087,19,0,0.0,0.0,3,4.506666666666667,7,2,0,1,4.31,8.666666666666666,3,0.046823831013546965,-1.4487019537194874
U00088,23,1,0.0,0.0,1,3.64,0,1,0,2,1.55,3.0,3,-1.3712979311957678,-0.5781376983527012
U00089,30,1,0.0,0.0,1,4.73,7,2,0,2,2.79,3.0,3,-1.2421479159725624,-1.3402152036676438
U00090,34,1,0.0,0.0,1,3.45,10,2,0,1,2.22,2.0,3,-1.6390654265190057,-1.2542489607574052
U00091,35,1,0.0,0.0,1,4.14,6,1,0,2,3.31,7.0,3,-0.6145508388968044,-1.3457301131826973
U00092,31,1,594.81,148.7025,4,2.7175000000000002,0,0,0,0,4.0975,10.5,1,1.3150970546499157,0.1998415912788126
U00093,16,1,285.05,285.05,1,1.96,1,1,1,0,1.06,3.0,2,-1.2802328083871966,2.9541708886907765
U00094,27,1,299.57,299.57,1,3.74,3,1,1,1,3.07,7.0,2,-0.2711696536167886,2.258114494046326
U00095,20,1,248.1,248.1,1,1.2,0,1,1,2,1.55,3.0,2,-1.1149899305146802,2.7080148724341364
U00096,34,0,0.0,0.0,4,2.58,7,1,0,0,4.0075,8.0,1,0.09527816161664449,-1.2594340260052952
U00097,25,1,0.0,0.0,2,2.0949999999999998,2,0,0,0,3.285,3.5,1,-0.48624718514797444,-0.6336333694150452
U00098,31,1,0.0,0.0,1,4.45,4,0,0,0,1.56,4.0,3,-1.3520985942087416,-0.8925765320730666
U00099,29,0,299.57,299.57,1,3.74,3,1,1,1,2.18,1.0,2,-1.0547378007676125,2.3839348223659056
U00100,32,0,0.0,0.0,1,2.14,5,1,0,0,1.39,4.0,1,-1.5146327148741565,-0.6710908438223321
U00101,15,0,89.59,89.59,1,2.68,0,2,1,0,1.55,3.0,2,-1.421038004184896,1.6934538844136173
U00102,32,1,299.57,299.57,1,3.74,3,1,1,0,3.07,7.0,2,-0.2683455225365659,2.2508927289869822
U00103,30,0,0.0,0.0,1,2.0,1,0,0,1,1.06,3.0,1,-1.4861576952102233,-0.3915552656573957
U00104,19,1,53.86,53.86,1,2.47,6,1,1,1,3.11,2.0,2,-1.082875721842246,0.9600610411198939
U00105,27,1,299.57,299.57,1,3.74,3,1,1,1,2.92,1.0,2,-0.7719787714006646,2.335697823546506
U00106,19,1,57.32,28.66,2,3.4400000000000004,5,0,0,0,3.4050000000000002,5.5,1,-0.3374939820157334,-0.7686313331446185
U00107,18,0,0.0,0.0,1,3.85,9,1,0,2,2.61,4.0,3,-1.1943461606059929,-1.2074024575808102
U00108,32,1,0.0,0.0,2,2.965,4,0,0,1,3.875,9.5,1,0.09492866924061723,-1.1014981651106246
U00109,15,0,869.77,62.12642857142857,14,3.157857142857143,3,1,0,0,4.663571428571429,23.357142857142858,0,3.720777236974887,-0.5787239604263757
U00110,26,0,487.92,487.92,1,3.64,1,0,1,0,3.43,12.0,2,0.7054568771310977,3.4272416453926287
U00111,24,1,0.0,0.0,1,2.14,5,1,0,0,2.33,4.0,1,-1.147211370766742,-0.683294802454453
U00112,34,0,565.8,40.41428571428571,14,3.165714285714286,3,0,0,2,4.747142857142856,22.714285714285715,0,3.453375687041543,-1.0979462290204633
U00113,19,1,346.71,346.71,1,1.23,10,0,1,2,1.05,1.0,2,-1.5944458501450909,2.836353917132665
U00114,22,0,0.0,0.0,1,2.38,2,0,0,0,3.24,6.0,1,-0.42537910843215093,-0.6672425325209828
U00115,32,0,0.0,0.0,1,1.73,7,2,0,0,1.05,1.0,1,-2.0302631242910927,-0.6712062074356439
U00116,31,1,0.0,0.0,1,1.52,4,0,0,2,1.79,4.0,1,-1.2507512546973598,-0.622667125511377
U00117,19,0,1885.87,145.06692307692308,13,3.373076923076923,2,1,1,1,4.67,23.307692307692307,0,4.537175283604096,1.7754249610359396
U00118,28,0,0.0,0.0,1,2.0,1,0,0,0,3.43,12.0,1,0.1263336745858454,-0.7056226535323721
U00119,28,1,57.32,57.32,1,4.74,11,0,1,2,2.83,1.0,3,-1.3922513511162167,0.3354768967313455
U00120,15,1,415.51,207.755,2,3.215,0,1,0,1,3.1,2.0,1,-0.17764073220874357,0.7068053946192273
U00121,27,0,328.77,164.385,2,2.7,7,0,1,0,3.3899999999999997,10.0,2,0.12600800040887006,1.4193779257526256
U00122,21,0,0.0,0.0,2,2.895,5,1,0,1,1.8599999999999999,4.0,1,-1.2133873406099194,-0.7740990369535095
U00123,18,0,356.89,178.445,2,4.24,3,0,1,1,3.335,8.5,2,0.16481398003741785,1.5928889383865272
U00124,19,0,460.49,230.245,2,2.175,0,0,1,1,3.205,7.0,2,0.2586980354017948,2.3718232640462715
U00125,35,0,326.02,163.01,2,2.25,1,0,0,1,4.0649999999999995,5.5,1,0.4081290925959951,0.13975753968879442
U00126,23,0,1084.57,77.4692857142857,14,3.457142857142857,5,1,0,0,4.8307142857142855,22.071428571428573,0,3.8294912494260833,-0.6366873679961446
U00127,34,0,903.4300000000001,301.1433333333334,3,3.846666666666667,0,0,1,2,3.8966666666666665,6.0,2,1.0184240993069573,2.448496756295876
